,real-cardinality
0,23178
1,22490
2,23088
3,23827
4,23825
5,23621
6,23309
7,23039
8,23504
9,23561
10,23069
11,23119
12,23036
13,22950
14,23694
15,23864
16,23344
17,23126
18,23304
19,24067
20,24119
21,23548
22,23014
23,23063
24,23631
25,24028
26,23526
27,23543
28,23978
