,F_val
11,"[('141.183.211.149', 1121), ('223.7.30.181', 1054), ('244.199.180.7', 597), ('124.117.15.38', 564), ('44.222.186.230', 542), ('122.24.123.178', 503), ('122.24.123.191', 476), ('7.236.99.148', 434), ('16.206.36.141', 380), ('149.164.124.168', 355), ('16.206.36.48', 349), ('122.24.123.144', 306), ('21.20.29.206', 281), ('122.24.173.150', 265), ('196.42.231.196', 264), ('47.122.20.104', 251), ('156.149.134.77', 236), ('251.103.139.125', 233), ('16.236.65.188', 233), ('135.214.201.45', 228)]"
12,"[('141.183.211.149', 1090), ('223.7.30.181', 996), ('135.214.201.39', 741), ('16.206.36.48', 673), ('16.206.36.142', 651), ('149.74.14.17', 443), ('244.199.180.7', 402), ('7.236.99.148', 370), ('16.236.65.195', 357), ('44.222.186.230', 277), ('122.24.123.144', 272), ('122.24.173.150', 265), ('124.117.15.38', 255), ('16.206.36.14', 252), ('47.122.20.104', 251), ('21.20.29.206', 244), ('135.214.201.45', 239), ('140.158.138.53', 238), ('16.236.65.188', 233), ('231.23.54.51', 224)]"
13,"[('223.7.30.181', 984), ('135.214.201.39', 741), ('16.206.36.48', 663), ('141.183.211.149', 655), ('16.206.36.142', 651), ('140.158.138.22', 598), ('47.122.20.104', 461), ('16.206.36.44', 449), ('124.117.15.38', 373), ('16.206.36.141', 366), ('244.199.180.7', 321), ('140.169.207.27', 299), ('44.222.186.230', 289), ('16.236.65.195', 285), ('149.74.14.17', 283), ('122.24.123.144', 273), ('16.236.65.188', 267), ('40.244.190.33', 265), ('231.23.54.51', 256), ('116.247.54.116', 244)]"
14,"[('223.7.30.181', 1006), ('140.169.207.27', 942), ('16.206.36.48', 686), ('141.183.211.149', 651), ('16.206.36.44', 611), ('140.158.138.22', 598), ('149.74.14.17', 518), ('33.189.67.71', 473), ('47.122.20.104', 461), ('16.206.36.141', 366), ('126.67.82.80', 364), ('21.20.29.206', 339), ('135.214.201.50', 310), ('244.199.180.7', 309), ('16.236.65.188', 298), ('218.225.91.38', 293), ('124.117.15.38', 293), ('44.222.186.230', 289), ('40.244.190.33', 265), ('135.214.201.49', 251)]"
15,"[('223.7.30.181', 1026), ('141.183.211.149', 953), ('149.74.14.17', 887), ('33.189.67.71', 660), ('140.169.207.27', 644), ('122.24.123.144', 614), ('16.206.36.44', 613), ('135.214.201.49', 388), ('126.67.82.80', 364), ('16.206.36.48', 347), ('16.236.65.195', 336), ('44.222.186.230', 319), ('135.214.201.50', 310), ('218.225.91.38', 293), ('16.206.36.14', 292), ('47.122.20.104', 279), ('126.67.188.100', 270), ('40.244.190.33', 262), ('122.24.173.150', 250), ('21.20.29.206', 243)]"
16,"[('223.7.30.181', 953), ('141.183.211.149', 812), ('16.206.36.48', 678), ('44.222.186.230', 666), ('122.24.123.144', 614), ('140.169.207.27', 509), ('112.80.112.66', 471), ('16.206.36.44', 450), ('33.189.67.71', 435), ('135.214.201.49', 398), ('16.206.36.141', 376), ('149.74.14.17', 369), ('116.247.54.116', 348), ('16.236.65.188', 325), ('16.236.65.195', 288), ('16.206.36.19', 287), ('47.122.20.104', 279), ('126.67.188.100', 270), ('40.244.190.33', 265), ('126.67.82.80', 257)]"
17,"[('223.7.30.181', 906), ('141.183.211.149', 728), ('16.206.36.48', 678), ('112.80.112.66', 529), ('140.169.207.27', 509), ('33.189.67.71', 447), ('16.206.36.141', 376), ('126.67.188.100', 358), ('16.236.65.188', 352), ('44.222.186.230', 347), ('140.158.138.22', 341), ('126.67.82.80', 327), ('124.117.15.38', 319), ('135.214.201.49', 308), ('116.155.166.163', 307), ('244.199.180.7', 288), ('135.214.201.50', 276), ('152.155.87.166', 267), ('40.244.190.33', 263), ('16.236.65.195', 260)]"
18,"[('223.7.30.181', 1031), ('141.183.211.149', 825), ('124.117.15.38', 462), ('16.206.36.44', 421), ('44.222.186.230', 381), ('114.67.43.48', 364), ('126.67.188.100', 358), ('16.206.36.48', 325), ('16.236.65.195', 299), ('149.74.14.17', 292), ('140.158.138.22', 284), ('135.214.201.49', 282), ('16.206.36.14', 274), ('7.236.99.148', 268), ('152.155.87.166', 267), ('40.244.190.33', 261), ('135.214.201.50', 257), ('231.23.54.51', 247), ('75.9.53.164', 226), ('244.199.180.7', 203)]"
19,"[('223.7.30.181', 1102), ('44.222.186.230', 769), ('126.67.188.100', 724), ('141.183.211.149', 680), ('16.206.36.48', 634), ('116.247.54.116', 438), ('33.189.177.242', 388), ('16.206.36.44', 368), ('16.206.36.19', 367), ('114.67.43.48', 364), ('44.206.83.122', 320), ('124.117.15.38', 305), ('16.206.36.141', 275), ('40.244.190.33', 258), ('149.164.124.168', 257), ('238.204.218.38', 253), ('231.23.54.51', 252), ('196.42.231.196', 244), ('156.149.134.77', 244), ('75.9.53.164', 226)]"
20,"[('223.7.30.181', 1124), ('126.67.188.100', 825), ('141.183.211.149', 720), ('16.206.36.48', 697), ('116.247.54.116', 547), ('44.206.83.122', 481), ('33.189.177.242', 424), ('44.222.186.230', 388), ('114.67.43.48', 345), ('124.117.15.38', 315), ('125.20.145.195', 312), ('238.63.23.203', 306), ('149.164.124.168', 292), ('16.206.36.141', 275), ('40.244.190.33', 265), ('231.23.54.51', 235), ('140.158.138.53', 231), ('16.206.36.46', 229), ('210.61.102.132', 217), ('224.134.46.157', 215)]"
21,"[('223.7.30.181', 1091), ('141.183.211.149', 865), ('16.206.36.147', 548), ('16.206.36.48', 433), ('114.67.43.48', 345), ('125.20.145.195', 332), ('75.91.212.229', 313), ('116.247.54.116', 308), ('16.206.36.14', 294), ('231.23.54.51', 288), ('124.117.15.38', 276), ('40.244.190.33', 272), ('16.206.36.51', 265), ('238.204.218.38', 261), ('16.236.65.169', 256), ('56.186.123.110', 245), ('224.134.46.157', 231), ('135.214.201.44', 228), ('135.214.201.50', 217), ('16.206.36.144', 216)]"
